Tran #,Date,Card Type,Amount,AP Code,Details,Device,Serial Number
13636909156,06/15/2021 02:55:50 PM,Cash,$1.25,,0011($1.25),Monroe Rd. Laundry - DN 2145,VJ300389359
13637036516,06/15/2021 03:18:29 PM,Cash,$1.25,,0011($1.25),Monroe Rd. Laundry - DN 2145,VJ300389359
13637136825,06/15/2021 03:36:19 PM,Cash,$1.25,,0012($1.25),Monroe Rd. Laundry - DN 2145,VJ300389359
13637255322,06/15/2021 03:59:32 PM,Cash,$2.50,,0018($2.50),Monroe Rd. Laundry - DN 2145,VJ300389359
13637260810,06/15/2021 04:00:35 PM,Cash,$1.25,,0020($1.25),Monroe Rd. Laundry - DN 2145,VJ300389359
13637269369,06/15/2021 04:02:08 PM,Cash,$1.25,,000C($1.25),Monroe Rd. Laundry - DN 2145,VJ300389359
13638129846,06/15/2021 07:25:31 PM,Cash,$1.25,,0010($1.25),Monroe Rd. Laundry - DN 2145,VJ300389359
13638132683,06/15/2021 07:26:26 PM,Cash,$1.25,,000F($1.25),Monroe Rd. Laundry - DN 2145,VJ300389359
13638136234,06/15/2021 07:27:05 PM,Cash,$1.25,,002E($1.25),Monroe Rd. Laundry - DN 2145,VJ300389359
13638646666,06/15/2021 10:22:04 PM,Cash,$1.25,,000F($1.25),Monroe Rd. Laundry - DN 2145,VJ300389359
13638574778,06/15/2021 09:55:13 PM,Visa Debit (Swiped),$2.50,011792,0030($1.25), 0024($1.25),Monroe Rd. Laundry - DN 2145,VJ300389359
13638078868,06/15/2021 07:10:19 PM,MasterCard Debit (Contactless),$1.25,101603,0021($1.25),Monroe Rd. Laundry - DN 2145,VJ300389359
13635198115,06/15/2021 09:55:57 AM,Cash,$3.00,,0303($3.00),Monroe Rd. Laundry - Laundry Products Machine,VJ300389365
13635200844,06/15/2021 09:56:34 AM,Cash,$3.00,,0304($3.00),Monroe Rd. Laundry - Laundry Products Machine,VJ300389365
13637652671,06/15/2021 05:22:29 PM,Cash,$2.50,,0001($2.50),Monroe Rd. Laundry - Laundry Products Machine,VJ300389365
13638564401,06/15/2021 09:51:02 PM,Visa Debit (Swiped),$3.00,026329,0300($3.00),Monroe Rd. Laundry - Laundry Products Machine,VJ300389365
13635613671,06/15/2021 11:16:14 AM,Cash,$2.50,,0302($2.50),Sunrise,VJ300389415
13635619729,06/15/2021 11:17:16 AM,Cash,$2.50,,0304($2.50),Sunrise,VJ300389415
13637184848,06/15/2021 03:45:51 PM,Cash,$0.49,,0002($0.49),Sunrise,VJ300389415
13637189521,06/15/2021 03:47:00 PM,Cash,$1.25,,0200($1.25),Sunrise,VJ300389415
13637194452,06/15/2021 03:47:51 PM,Cash,$2.00,,0501($2.00),Sunrise,VJ300389415
13637210020,06/15/2021 03:50:47 PM,Cash,$1.25,,0201($1.25),Sunrise,VJ300389415
13637210870,06/15/2021 03:51:08 PM,Cash,$2.50,,0300($2.50),Sunrise,VJ300389415
13637633868,06/15/2021 05:18:08 PM,Cash,$2.50,,0303($2.50),Sunrise,VJ300389415
13634846588,06/15/2021 08:35:57 AM,Cash,$1.25,,0021($1.25),Missing Machine Name for VJ300389416,VJ300389416
13635481016,06/15/2021 10:51:52 AM,Cash,$1.25,,0012($1.25),Missing Machine Name for VJ300389416,VJ300389416
13635504697,06/15/2021 10:56:43 AM,Cash,$2.75,,0018($2.75),Missing Machine Name for VJ300389416,VJ300389416
13635568012,06/15/2021 11:07:21 AM,Cash,$1.25,,002B($1.25),Missing Machine Name for VJ300389416,VJ300389416
13635571113,06/15/2021 11:07:46 AM,Cash,$1.25,,002E($1.25),Missing Machine Name for VJ300389416,VJ300389416
13635578369,06/15/2021 11:09:06 AM,Cash,$1.25,,002C($1.25),Missing Machine Name for VJ300389416,VJ300389416
13636160624,06/15/2021 12:47:27 PM,Cash,$1.25,,000A($1.25),Missing Machine Name for VJ300389416,VJ300389416
13636186214,06/15/2021 12:51:49 PM,Cash,$2.50,,0000($2.50),Missing Machine Name for VJ300389416,VJ300389416
13636189251,06/15/2021 12:52:16 PM,Cash,$2.50,,0000($2.50),Missing Machine Name for VJ300389416,VJ300389416
13636439061,06/15/2021 01:32:46 PM,Cash,$2.00,,0025($2.00),Missing Machine Name for VJ300389416,VJ300389416
13636478663,06/15/2021 01:39:44 PM,Cash,$1.25,,000D($1.25),Missing Machine Name for VJ300389416,VJ300389416
13636980681,06/15/2021 03:08:29 PM,Cash,$1.25,,000E($1.25),Missing Machine Name for VJ300389416,VJ300389416
13637780364,06/15/2021 05:53:45 PM,Cash,$1.25,,000A($1.25),Missing Machine Name for VJ300389416,VJ300389416
13638204792,06/15/2021 07:47:43 PM,Cash,$1.25,,002D($1.25),Missing Machine Name for VJ300389416,VJ300389416
13638390407,06/15/2021 08:47:25 PM,Cash,$1.25,,002F($1.25),Missing Machine Name for VJ300389416,VJ300389416
